file_path,line_no,function_name,return_type,parameter_types,full_signature
BasicServicesKit/oh_commonevent.h,406,OH_CommonEvent_GetIntArrayFromParameters,int32_t,"const CommonEvent_Parameters* para, const char* key, int** array","int32_t OH_CommonEvent_GetIntArrayFromParameters(const CommonEvent_Parameters* para, const char* key, int** array);"
BasicServicesKit/oh_commonevent.h,382,OH_CommonEvent_GetIntFromParameters,int,"const CommonEvent_Parameters* para, const char* key, const int defaultValue","int OH_CommonEvent_GetIntFromParameters(const CommonEvent_Parameters* para, const char* key, const int defaultValue);"
BasicServicesKit/oh_commonevent.h,457,OH_CommonEvent_GetLongArrayFromParameters,int32_t,"const CommonEvent_Parameters* para, const char* key, long** array","int32_t OH_CommonEvent_GetLongArrayFromParameters(const CommonEvent_Parameters* para, const char* key, long** array);"
BasicServicesKit/oh_commonevent.h,433,OH_CommonEvent_GetLongFromParameters,long,"const CommonEvent_Parameters* para, const char* key, const long defaultValue","long OH_CommonEvent_GetLongFromParameters(const CommonEvent_Parameters* para, const char* key, const long defaultValue);"
BasicServicesKit/oh_commonevent.h,263,OH_CommonEvent_GetParametersFromRcvData,const CommonEvent_Parameters*,const CommonEvent_RcvData* rcvData,const CommonEvent_Parameters* OH_CommonEvent_GetParametersFromRcvData(const CommonEvent_RcvData* rcvData);
BasicServicesKit/oh_commonevent.h,371,OH_CommonEvent_HasKeyInParameters,bool,"const CommonEvent_Parameters* para, const char* key","bool OH_CommonEvent_HasKeyInParameters(const CommonEvent_Parameters* para, const char* key);"
BasicServicesKit/oh_commonevent.h,668,OH_CommonEvent_IsOrderedCommonEvent,bool,const CommonEvent_Subscriber* subscriber,bool OH_CommonEvent_IsOrderedCommonEvent(const CommonEvent_Subscriber* subscriber);
BasicServicesKit/oh_commonevent.h,643,OH_CommonEvent_Publish,CommonEvent_ErrCode,const char* event,CommonEvent_ErrCode OH_CommonEvent_Publish(const char* event);
BasicServicesKit/oh_commonevent.h,659,OH_CommonEvent_PublishWithInfo,CommonEvent_ErrCode,"const char* event, const CommonEvent_PublishInfo* info","CommonEvent_ErrCode OH_CommonEvent_PublishWithInfo(const char* event, const CommonEvent_PublishInfo* info);"
BasicServicesKit/oh_commonevent.h,523,OH_CommonEvent_SetBoolArrayToParameters,CommonEvent_ErrCode,unknown,"CommonEvent_ErrCode OH_CommonEvent_SetBoolArrayToParameters(CommonEvent_Parameters* param, const char* key,"
BasicServicesKit/oh_commonevent.h,497,OH_CommonEvent_SetBoolToParameters,CommonEvent_ErrCode,"CommonEvent_Parameters* param, const char* key, bool value","CommonEvent_ErrCode OH_CommonEvent_SetBoolToParameters(CommonEvent_Parameters* param, const char* key, bool value);"
BasicServicesKit/oh_commonevent.h,573,OH_CommonEvent_SetCharArrayToParameters,CommonEvent_ErrCode,unknown,"CommonEvent_ErrCode OH_CommonEvent_SetCharArrayToParameters(CommonEvent_Parameters* param, const char* key,"
BasicServicesKit/oh_commonevent.h,548,OH_CommonEvent_SetCharToParameters,CommonEvent_ErrCode,"CommonEvent_Parameters* param, const char* key, char value","CommonEvent_ErrCode OH_CommonEvent_SetCharToParameters(CommonEvent_Parameters* param, const char* key, char value);"
BasicServicesKit/oh_commonevent.h,723,OH_CommonEvent_SetCodeToSubscriber,bool,"CommonEvent_Subscriber* subscriber, int32_t code","bool OH_CommonEvent_SetCodeToSubscriber(CommonEvent_Subscriber* subscriber, int32_t code);"
BasicServicesKit/oh_commonevent.h,743,OH_CommonEvent_SetDataToSubscriber,bool,"CommonEvent_Subscriber* subscriber, const char* data, size_t length","bool OH_CommonEvent_SetDataToSubscriber(CommonEvent_Subscriber* subscriber, const char* data, size_t length);"
BasicServicesKit/oh_commonevent.h,627,OH_CommonEvent_SetDoubleArrayToParameters,CommonEvent_ErrCode,unknown,"CommonEvent_ErrCode OH_CommonEvent_SetDoubleArrayToParameters(CommonEvent_Parameters* param, const char* key,"
BasicServicesKit/oh_commonevent.h,599,OH_CommonEvent_SetDoubleToParameters,CommonEvent_ErrCode,unknown,"CommonEvent_ErrCode OH_CommonEvent_SetDoubleToParameters(CommonEvent_Parameters* param, const char* key,"
BasicServicesKit/oh_commonevent.h,421,OH_CommonEvent_SetIntArrayToParameters,CommonEvent_ErrCode,unknown,"CommonEvent_ErrCode OH_CommonEvent_SetIntArrayToParameters(CommonEvent_Parameters* param, const char* key,"
